            Data      time  rge     ht
0     2005/01/01   0:00:14  168   85.4
1     2005/01/01   0:00:31  825   97.9
2     2005/01/01   0:00:39  138   79.6
3     2005/01/01   0:00:39  138   79.8
4     2005/01/01   0:01:49  205   94.5
5     2005/01/01   0:02:42  429   92.2
6     2005/01/01   0:02:42  425   88.6
7     2005/01/01   0:02:56  571   88.8
8     2005/01/01   0:02:56  571   86.1
9     2005/01/01   0:12:14  451   90.7
10    2005/01/01   0:12:33  485   88.8
11    2005/01/01   0:12:35  336   80.4
12    2005/01/01   0:12:52  787   94.2
13    2005/01/01   0:13:06  996   82.7
14    2005/01/01   0:13:23  683   86.8
15    2005/01/01   0:13:44  705   97.0
16    2005/01/01   0:14:15  306   99.2
17    2005/01/01   0:14:15  306   99.4
18    2005/01/01   0:15:48  530   93.7
19    2005/01/01   0:15:54  004   94.8
20    2005/01/01   0:15:56  116   97.3
21    2005/01/01   0:18:20  571   87.8
22    2005/01/01   0:18:34  414   84.3
23    2005/01/01   0:18:34  392   82.8
24    2005/01/01   0:19:27  616   83.1
25    2005/01/01   0:19:27  608   81.5
26    2005/01/01   0:19:31  194   94.4
27    2005/01/01   0:20:02  608   93.6
28    2005/01/01   0:20:02  608   91.6
29    2005/01/01   0:22:11  313   87.3
30    2005/01/01   0:23:26  414   94.8
31    2005/01/01   0:25:36  511   85.5
32    2005/01/01   0:25:36  507   82.0
33    2005/01/01   0:25:36  507   74.6
34    2005/01/01   0:25:36  507   86.9
35    2005/01/01   0:27:20  149   85.8
36    2005/01/01   0:27:41  892   85.7
37    2005/01/01   0:27:52  153   86.2
38    2005/01/01   0:27:56  724   95.0
39    2005/01/01   0:28:23  369   82.6
40    2005/01/01   0:28:36  056   88.5
41    2005/01/01   0:30:00  534   93.9
42    2005/01/01   0:31:50  325   91.4
43    2005/01/01   0:40:09  146   80.5
44    2005/01/01   0:40:09  146   96.1
45    2005/01/01   0:40:29  276   80.3
46    2005/01/01   0:42:34  022   91.5
47    2005/01/01   0:42:38  780   83.6
48    2005/01/01   0:43:23  784   93.1
49    2005/01/01   0:43:23  784   94.2
50    2005/01/01   0:43:23  780   92.3
51    2005/01/01   0:44:55  358   75.7
52    2005/01/01   0:45:54  022   98.4
53    2005/01/01   0:45:54  022   98.2
54    2005/01/01   0:46:50  724   96.0
55    2005/01/01   0:46:55  194   89.1
56    2005/01/01   0:47:07  690   88.3
57    2005/01/01   0:47:07  679   91.9
58    2005/01/01   0:47:44  366   94.1
59    2005/01/01   0:47:44  366   92.6
60    2005/01/01   0:48:02  149   91.2
61    2005/01/01   0:48:59  821   93.5
62    2005/01/01   0:49:57  485   87.5
63    2005/01/01   0:49:57  485  106.1
64    2005/01/01   0:49:57  485   75.7
65    2005/01/01   0:49:57  485   88.2
66    2005/01/01   0:49:57  485  101.5
67    2005/01/01   0:50:11  675   94.6
68    2005/01/01   0:50:33  828   79.9
69    2005/01/01   0:51:52  854   89.2
70    2005/01/01   0:51:52  836   87.9
71    2005/01/01   0:52:00  265   93.5
72    2005/01/01   0:52:00  265   91.5
73    2005/01/01   0:52:19  220   85.0
74    2005/01/01   0:52:38  063   89.0
75    2005/01/01   0:52:38  063   84.9
76    2005/01/01   0:53:55  235   91.5
77    2005/01/01   0:53:55  235   90.6
78    2005/01/01   0:54:32  843   93.3
79    2005/01/01   0:54:32  840   94.7
80    2005/01/01   0:54:32  881   91.8
81    2005/01/01   0:55:10  384   85.8
82    2005/01/01   0:55:10  373   85.9
83    2005/01/01   0:55:41  985   90.3
84    2005/01/01   0:57:16  205   89.8
85    2005/01/01   0:57:16  201   88.3
86    2005/01/01   0:58:32  082   84.7
87    2005/01/01   0:58:37  321   84.1
88    2005/01/01   1:00:03  433   85.1
89    2005/01/01   1:00:06  578   89.1
90    2005/01/01   1:00:06  578   88.0
91    2005/01/01   1:00:25  071   93.4
92    2005/01/01   1:00:25  071   99.4
93    2005/01/01   1:00:55  552   87.7
94    2005/01/01   1:01:01  239   84.7
95    2005/01/01   1:01:01  243   85.3
96    2005/01/01   1:01:01  239   83.9
97    2005/01/01   1:01:51  478   94.0
98    2005/01/01   1:01:51  474   94.9
99    2005/01/01   1:01:51  489   92.3
100   2005/01/01   1:01:54  082   90.9
101   2005/01/01   1:01:54  082   91.1
102   2005/01/01   1:02:11  858   84.3
103   2005/01/01   1:02:11  862   83.0
104   2005/01/01   1:02:51  060   81.3
105   2005/01/01   1:02:52  817  103.2
106   2005/01/01   1:03:02  996   87.0
107   2005/01/01   1:03:48  802   94.2
108   2005/01/01   1:03:48  806   96.6
109   2005/01/01   1:03:48  802   92.9
110   2005/01/01   1:03:49  157   89.7
111   2005/01/01   1:03:49  157   88.1
112   2005/01/01   1:06:31  414   94.4
113   2005/01/01   1:06:41  209   99.7
114   2005/01/01   1:06:45  045   81.5
115   2005/01/01   1:06:53  735   87.6
116   2005/01/01   1:07:15  701   90.3
117   2005/01/01   1:07:15  701   90.2
118   2005/01/01   1:07:27  534   87.5
119   2005/01/01   1:09:25  213   88.4
120   2005/01/01   1:09:25  213   89.8
121   2005/01/01   1:10:33  377   94.5
122   2005/01/01   1:10:33  381   92.7
123   2005/01/01   1:11:20  183  100.1
124   2005/01/01   1:12:01  112   92.8
125   2005/01/01   1:12:01  116   88.1
126   2005/01/01   1:12:01  433   86.9
127   2005/01/01   1:12:05  422   90.4
128   2005/01/01   1:12:12  575   99.2
129   2005/01/01   1:12:12  575   73.2
130   2005/01/01   1:12:12  575   99.3
131   2005/01/01   1:12:40  101   87.7
132   2005/01/01   1:12:42  690   91.2
133   2005/01/01   1:12:58  526   89.7
134   2005/01/01   1:12:58  522   92.2
135   2005/01/01   1:13:20  627   81.1
136   2005/01/01   1:13:20  627  105.3
137   2005/01/01   1:13:38  000   96.6
138   2005/01/01   1:13:38  000   95.0
139   2005/01/01   1:14:30  832   87.4
140   2005/01/01   1:15:32  537   82.5
141   2005/01/01   1:15:53  354   90.6
142   2005/01/01   1:15:53  354   89.0
143   2005/01/01   1:15:55  929   89.8
144   2005/01/01   1:16:26  739   97.2
145   2005/01/01   1:16:26  735  100.6
146   2005/01/01   1:16:36  888   83.7
147   2005/01/01   1:16:36  888   85.2
148   2005/01/01   1:16:38  265  103.1
149   2005/01/01   1:16:51  291   91.1
150   2005/01/01   1:16:53  243   97.3
151   2005/01/01   1:16:53  250   96.2
152   2005/01/01   1:16:53  231   98.6
153   2005/01/01   1:17:44  444   90.8
154   2005/01/01   1:18:01  381   99.6
155   2005/01/01   1:18:14  563   96.9
156   2005/01/01   1:19:01  966   88.3
157   2005/01/01   1:19:04  757  102.8
158   2005/01/01   1:19:04  757  101.8
159   2005/01/01   1:19:28  743   86.2
160   2005/01/01   1:20:09  519   91.6
161   2005/01/01   1:20:36  735   82.9
162   2005/01/01   1:20:40  545   85.7
163   2005/01/01   1:20:40  541   87.4
164   2005/01/01   1:20:48  242   92.4
165   2005/01/01   1:20:54  422   84.3
166   2005/01/01   1:22:23  981   93.3
167   2005/01/01   1:24:20  175   88.4
168   2005/01/01   1:24:52  351   86.6
169   2005/01/01   1:25:10  104   89.6
170   2005/01/01   1:27:09  869   83.4
171   2005/01/01   1:27:25  198   86.3
172   2005/01/01   1:28:02  056   92.9
173   2005/01/01   1:28:39  339   98.7
174   2005/01/01   1:29:03  302   93.5
175   2005/01/01   1:30:46  429   82.0
176   2005/01/01   1:31:50  675   85.2
177   2005/01/01   1:31:50  668   84.5
178   2005/01/01   1:31:57  627   88.4
179   2005/01/01   1:32:15  593   86.7
180   2005/01/01   1:33:54  418   85.7
181   2005/01/01   1:33:54  418   84.3
182   2005/01/01   1:34:06  739   85.1
183   2005/01/01   1:34:06  731   82.9
184   2005/01/01   1:34:27  261   91.5
185   2005/01/01   1:34:27  261   98.5
186   2005/01/01   1:35:32  739   89.5
187   2005/01/01   1:35:34  631   91.4
188   2005/01/01   1:37:07  384   84.4
189   2005/01/01   1:37:07  384  104.1
190   2005/01/01   1:37:39  448   72.1
191   2005/01/01   1:37:39  448   98.9
192   2005/01/01   1:37:50  821   90.2
193   2005/01/01   1:38:04  851   93.3
194   2005/01/01   1:38:33  089   97.7
195   2005/01/01   1:38:33  089   98.2
196   2005/01/01   1:39:16  366   96.1
197   2005/01/01   1:39:16  366   94.1
198   2005/01/01   1:41:40  571   94.0
199   2005/01/01   1:42:22  892   86.8
200   2005/01/01   1:42:22  892   86.8
201   2005/01/01   1:43:04  660   94.0
202   2005/01/01   1:43:23  530   74.1
203   2005/01/01   1:43:23  530   93.0
204   2005/01/01   1:43:23  530   75.3
205   2005/01/01   1:43:23  530  108.5
206   2005/01/01   1:44:00  985   80.8
207   2005/01/01   1:44:36  776   93.9
208   2005/01/01   1:44:42  787   92.1
209   2005/01/01   1:45:09  672   70.6
210   2005/01/01   1:45:09  672   91.2
211   2005/01/01   1:45:15  254   98.1
212   2005/01/01   1:45:17  563   87.0
213   2005/01/01   1:45:45  784   93.1
214   2005/01/01   1:45:45  784   95.3
215   2005/01/01   1:46:10  160   88.1
216   2005/01/01   1:47:03  582   99.2
217   2005/01/01   1:47:03  582   97.6
218   2005/01/01   1:48:06  575   89.5
219   2005/01/01   1:48:06  575   88.3
220   2005/01/01   1:48:06  664   87.5
221   2005/01/01   1:48:06  660   86.3
222   2005/01/01   1:48:53  653  106.4
223   2005/01/01   1:48:53  735  103.7
