            Date          Time    Rge     Ht  Ambig
0     2005/01/02   0:00:27.444  118.0   85.2      1
1     2005/01/02   0:00:41.187  155.9   84.8      1
2     2005/01/02   0:00:41.187  157.9   85.5      1
3     2005/01/02   0:01:54.840  153.9   88.0      1
4     2005/01/02   0:03:25.216   92.0   81.2      1
5     2005/01/02   0:05:56.791  193.9   88.7      1
6     2005/01/02   0:05:56.795  191.9   88.9      1
7     2005/01/02   0:06:02.433  223.9   99.6      1
8     2005/01/02   0:06:23.515  112.0   94.1      1
9     2005/01/02   0:08:12.198  112.0   84.9      1
10    2005/01/02   0:08:12.198  110.0   83.4      1
11    2005/01/02   0:09:08.000  159.9   87.1      1
12    2005/01/02   0:09:23.530  108.0   88.7      1
13    2005/01/02   0:09:23.534  110.0   90.0      1
14    2005/01/02   0:09:34.907  161.9  101.3      1
15    2005/01/02   0:09:34.910  159.9   99.9      1
16    2005/01/02   0:11:24.015  271.9   95.2      1
17    2005/01/02   0:11:24.030  269.9   95.7      1
18    2005/01/02   0:11:56.392  112.0   87.1      1
19    2005/01/02   0:12:09.616  104.0   85.7      1
20    2005/01/02   0:12:09.616  102.0   84.0      1
21    2005/01/02   0:12:16.190  231.9   79.5      4
22    2005/01/02   0:12:16.190  301.9  105.0      4
23    2005/01/02   0:12:16.190  161.9   75.2      4
24    2005/01/02   0:12:16.190  231.9  108.7      4
25    2005/01/02   0:12:16.190  229.9   79.1      4
26    2005/01/02   0:12:16.190  299.9  104.6      4
27    2005/01/02   0:12:16.190  159.9   74.2      4
28    2005/01/02   0:12:16.190  229.9  107.7      4
29    2005/01/02   0:12:20.728  132.0   92.4      1
30    2005/01/02   0:15:02.668  128.0   92.3      1
31    2005/01/02   0:15:05.858  118.0   86.5      1
32    2005/01/02   0:15:21.903  106.0   85.8      1
33    2005/01/02   0:15:40.772  132.0   90.2      1
34    2005/01/02   0:16:11.261  134.0  100.2      1
35    2005/01/02   0:16:11.261  132.0   98.6      1
36    2005/01/02   0:16:33.761  163.9   87.5      1
37    2005/01/02   0:16:33.765  161.9   88.1      1
38    2005/01/02   0:16:36.325  124.0   90.0      1
39    2005/01/02   0:16:36.325  126.0   90.9      1
40    2005/01/02   0:16:36.321  122.0   87.6      1
41    2005/01/02   0:17:16.276  132.0   89.8      1
42    2005/01/02   0:17:51.463  106.0   92.0      1
43    2005/01/02   0:19:19.534  183.9   83.8      1
44    2005/01/02   0:19:26.407  116.0   87.1      1
45    2005/01/02   0:19:29.772  120.0   90.5      1
46    2005/01/02   0:20:02.757  159.9   97.3      1
47    2005/01/02   0:20:02.776  161.9   98.7      1
48    2005/01/02   0:21:34.239   96.0   87.6      1
49    2005/01/02   0:21:34.235   94.0   85.8      1
50    2005/01/02   0:21:56.220   96.0   86.1      1
51    2005/01/02   0:21:56.220   94.0   84.4      1
52    2005/01/02   0:22:36.366  110.0   96.3      1
53    2005/01/02   0:23:15.403  132.0   93.0      1
54    2005/01/02   0:23:18.761  177.9   94.8      1
55    2005/01/02   0:23:18.765  175.9   92.9      1
56    2005/01/02   0:24:30.780  108.0   90.5      1
57    2005/01/02   0:24:30.780  106.0   88.7      1
58    2005/01/02   0:25:51.444  151.9   92.9      1
59    2005/01/02   0:25:52.608  169.9   97.3      1
60    2005/01/02   0:26:45.858  118.0   88.2      1
61    2005/01/02   0:26:45.858  116.0   86.8      1
62    2005/01/02   0:27:04.056  171.9   96.9      1
